id,nombre,bodega,varietal,descripcion,precio_unitario,precio_caja,botellas_caja,imagen_url,categoria,activo
1,Angelica Zapata,Catena Zapata,Chardonnay,"FICHA TÉCNICA Angélica Chardonnay es un ""single vineyard"" que refleja características propias de la zona de gran altitud en donde se origina. Con días soleados y cálidos, y noches frescas al pie del Cordón del Plata, las uvas de Chardonnay adquieren una madurez plena y bien balanceada. Su color es amarillo intenso con reflejos verdosos claros. En nariz se presenta concentrado e intenso, con aromas de frutas cítricas y un toque mineral. En boca, de impacto dulce, untuoso, es brillante y fresco con sabores a frutas maduras, notas de vainilla y una excelente acidez natural que le otorga un final largo y persistente. PRODUCTOR Catena Zapata TIPO Blanco VARIEDAD Chardonnay VOLUMEN 750 ml CORTE 100% Chardonnay ALCOHOL 13,9% LUGAR DE ELABORACIÓN Viñedo Adrianna, Gualtallary, Tupungato. Provincia de Mendoza, Argentina. ALTURA (S.N.M.) 1480 CRIANZA / BARRICADO 14 meses en 100% roble Francés, 40% Nuevo.",21060,84240,4,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
2,Angelica Zapata,Catena Zapata,Merlot,"Es un vino elegante y complejo de color rojo violáceo con destellos rubíes, de nariz delicada, donde sobresalen aromas que recuerdan a de frutos rojos del bosque y notas suaves de especias como pimienta negra y clavo de olor, aportados por las uvas del viñedo La Pirámide, y aromas a frutos rojos y negros maduros como cassis y grosellas aportados por las uvas de Adrianna. El paso por roble aporta notas suaves de especias y vainilla. En boca de impacto dulce y cuerpo medio, muy equilibrado con la acidez, se perciben taninos muy suaves y redondos que ofrecen un final longevo y agradable. Varietal: 100% Merlot Añejamiento: 16 meses en roble Francés (40% nuevo)",21060,84240,4,/imagenes/be01252_base-300f2828a23844200a17614179779412.jpg,,TRUE
3,Angelica Zapata Alta 2020,Catena Zapata,Malbec,"Las uvas para la elaboración de este vino provienen del Viñedo “Angélica”, situado al sur del Valle de Uco. Altura extrema, gran intensidad luminosa, suelos pedregosos con excelente drenaje. Rendimientos bajos, vinos de extraordinaria concentración, con taninos increíblemente suaves y aterciopelados. Sur del Valle de Uco, considerado el “Napa Valley” de Argentina. Cosecha 2017 hasta el presente. Varietal: 100% Malbec Añejamiento: 18 meses en roble Francés (50% nuevo)",23702,90066,4,/imagenes/diseno-sin-titulo-36-0dc43f652d402f4f7617692789900056.jpg,,TRUE
4,Birth Of Cabernet,Catena Zapata,Cabernet Sauvignon,"La cosecha se realiza manualmente. La fermentación se realiza en huevos de concreto, pequeños tanques de acero inoxidable y roll-fermentadores de roble francés, a temperaturas de 26-28°C durante aproximadamente 12-18 días. Maceración total de alrededor de 18-22 días. Añejamiento en roble francés durante 18-24 meses, en barricas de primer, segundo y tercer uso. Varietales: 50% Cabernet Sauvignon (La Pirámide), 40% Cabernet Sauvignon (Angélica Sur), 10% Cabernet Franc (Angélica Sur). Crianza: Se llevó a cabo una fermentación maloláctica completa con añejamiento de 12 a 24 meses en barriles de roble de 1er, 2do y 3er uso",63700,363090,6,/imagenes/diseno-sin-titulo-36-0dc43f652d402f4f7617692789900056.jpg,,TRUE
5,Dv Adrianna,Catena Zapata,Malbec,"DV Catena Malbec Adrianna es un vino elegante y complejo, de color rojo profundo con reflejos violetas. A la nariz, intenso y concentrado, presenta notas de cassis, frambuesa y violetas, características del Malbec del viñedo Adrianna, acompañadas por vainilla, tabaco y licor aportadas por la crianza en roble. En boca, de impacto dulce y gran complejidad, es amplio, con taninos suaves y redondos, de final largo y persistente. Catena Zapata PRODUCTOR Catena Zapata TIPO Tinto VARIEDAD Malbec VOLUMEN 750 ml CORTE 100% Malbec ALCOHOL 14% LUGAR DE ELABORACIÓN Adrianna - Gualtallary - Tupungato. Provincia de Mendoza, Argentina ALTURA (S.N.M.) 1480 CRIANZA / BARRICADO 24 meses en 100% Roble francés (100% nuevo). ELABORACIÓN Cosecha: Manual, 3 momentos de cosecha. Fermentación: Fermentación en barriles de roble francés. Levaduras seleccionadas, máx. temp. ferm. 28° C, durante 17 días, con 29 días de maceración. ENÓLOGO Alejandro Vigil",24937,99746,4,/imagenes/dv-adrianna-2b512d3821ff82c79117577099929664.jpg,,TRUE
6,Dv Blanco Historico,Catena Zapata,Blend de Blancas,"BODEGA Catena Zapata VARIEDAD Blanco REGIÓN Viñedo Pirámide, Agrelo, Luján de Cuyo, Mendoza (1100 msnm) CRIANZA 9 meses en barricas de roble, 10% nuevo y 90% de 2 y 3 usos ENÓLOGO Alejandro Vigil CEPAS 60% Chenin Blanc - Semillon 40% PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo.",16380,98280,6,/imagenes/dv_catena_vd_blanco_historico1-977fb943382e1296aa16179088893738-640-0-83cedc43a5c8c2dd4517577104843705.jpg,,TRUE
7,Dv Catena Cabernet Cabernet,Catena Zapata,Cabernet Sauvignon,"FICHA TÉCNICA D.V. Catena Cabernet - Cabernet es un vino de gran complejidad y elegancia: Las uvas Cabernet provenientes de Agrelo confieren un intenso sabor a frutos negros y excelente estructura. El Cabernet Sauvignon de Villa Bastías otorga aromas a cerezas negras maduras y un refrescante lado mineral. El paso por roble añade a su vez deliciosas notas de tostado y caramelo. PRODUCTOR Catena Zapata TIPO Tinto VARIEDAD Cabernet Sauvignon VOLUMEN 750 ml CORTE 100% Cabernet Sauvignon ALCOHOL 14% LUGAR DE ELABORACIÓN Viñedo La Pirámide, Agrelo; Viñedo Domingo, Villa Bastias. Provincia de Mendoza, Argentina. CRIANZA / BARRICADO 18 meses en Roble francés 80 % nuevo.",17768,106610,6,/imagenes/dv-catena-cab-cab1-f67cd3d5430ded780016080431906261-640-0-dbbc157e341012fd8017577105530489.jpg,,TRUE
8,Dv Catena Cabernet Malbec,Catena Zapata,Cabernet-Malbec,"FICHA TÉCNICA DV Catena Cabernet Sauvignon-Malbec es un vino elegante y complejo, de color rojo rubi con reflejos violetas. A la nariz, intenso y concentrado, presenta notas de especias aportadas por el Cabernet Sauvignon del viñedo La Pirámide, y notas de moras maduras y ciruelas, características del Malbec del viñedo Angélica, acompañadas por vainilla, tabaco y licor aportadas por la crianza en roble. En boca, de impacto dulce y gran complejidad, con taninos integrados y redondos, de final largo y persistente. Vinos PRODUCTOR Catena Zapata TIPO Tinto VARIEDAD Blend VOLUMEN 750 ml CORTE 50% Cabernet Sauvignon | 50% Malbec ALCOHOL 14% LUGAR DE ELABORACIÓN Cabernet Sauvignon: La Pirámide (Agrelo, Luján de Cuyo); Malbec: Angélica (Lunlunta, Maipú). Provincia de Mendoza, Argentina. ALTURA (S.N.M.) 940 y 860 CRIANZA / BARRICADO 16 meses en 90% Roble francés (30% nuevo), y 10% roble americano nuevo.",11635,66320,6,/imagenes/malbec-1914-b5f06a0a8148c82f9b17612523378573.jpg,,TRUE
9,Dv Catena Chardonnay,Catena Zapata,Chardonnay,"D.V. Catena Chardonnay - Chardonnay refleja características propias de las zonas que le dan origen. Con días soleados y cálidos, y noches frescas, las uvas Chardonnay adquieren una madurez plena y bien balanceada. Su color es amarillo oro con reflejos verdosos claros. De gran complejidad y elegancia, en nariz se presenta concentrado e intenso: el viñedo La Pirámide aporta aromas de frutas tropicales maduras, ananá y durazno blanco. El viñedo Domingo confiere aromas cítricos y minerales. En boca, de impacto dulce y untuoso, se perciben sabores a frutas maduras y una acidez vivaz que le brinda un fresco y prolongado final. Catena Zapata Vinos PRODUCTOR Catena Zapata TIPO Blanco VARIEDAD Chardonnay VOLUMEN 750 ml CORTE 100% Chardonnay ALCOHOL 13,7% LUGAR DE ELABORACIÓN Domingo, Villa Bastías, Tupungato; La Pirámide, Agrelo, Luján de Cuyo. Provincia de Mendoza, Argentina. CRIANZA / BARRICADO Crianza sobre borras durante 6 meses en barriles de roble francés de 3 usos y en tanque de acero inoxidable, con removido de borras una vez por semana.",13845,83070,6,/imagenes/dv-chardo-ec65d542c91efa017a17577100584647.jpg,,TRUE
10,Dv Catena L'Esploratore La Rioja,Catena Zapata,Malbec,"BODEGA Catena Zapata VARIEDAD Malbec REGIÓN Viñedo ""Los Quiroga"" - Angulos , La Rioja. CRIANZA 24 Meses en Roble Frances ENÓLOGO Alejandro Vigil CEPAS 100% Malbec PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo. NOTAS DE CATA Notas de cereza y frutilla combinan con piedras húmedas y especias secas típicas del terroir, junto a un toque herbáceo refrescante"". En boca es firme, fluido y elegante, con taninos apretados y mucha presencia de fruta. Una acidez muy equilibrada da paso a un final que deja un perdurable recuerdo a fruta y notas ahumadas.",16835,101010,6,/imagenes/dv-adrianna-2b512d3821ff82c79117577099929664.jpg,,TRUE
